rank,title,BGG_rating,avg_rating,list_price,amazon_price,year,game_id
445,Mice and Mystics,7.002,7.24,79.99,63.99,2012,124708
446,The Manhattan Project,7.002,7.33,,99.99,2012,63628
447,Flash Point: Fire Rescue,7.0,7.16,,39.99,2011,100901
448,Mindbug: First Contact,6.999,7.77,,,2022,345584
449,Marvel United: X-Men,6.999,8.12,34.99,32.16,2021,336382
450,Kingsburg,6.995,7.18,,,2007,27162
451,Millennium Blades,6.994,7.67,,79.99,2016,151347
452,Imperial Settlers: Empires of the North,6.991,7.46,,35.95,2019,270844
453,Boonlake,6.99,7.69,,69.95,2021,343905
454,John Company: Second Edition,6.988,8.33,,,2022,332686
455,Glen More,6.986,7.3,,,2010,66362
456,Pipeline,6.986,7.63,,,2019,256730
457,Lancaster,6.984,7.4,,,2011,96913
458,Lord of the Rings: The Confrontation,6.984,7.48,,,2005,18833
459,Pandemic: Reign of Cthulhu,6.984,7.37,49.99,39.99,2016,192153
460,Heroscape Master Set: Rise of the Valkyrie,6.984,7.44,,399.99,2004,11170
461,Black Orchestra,6.982,7.51,60.0,50.0,2016,156858
462,A Few Acres of Snow,6.981,7.37,,,2011,79828
463,Mandala,6.981,7.54,,29.99,2019,264241
464,Honey Buzz,6.979,7.62,,,2020,284742
465,PitchCar,6.978,7.26,,,1995,150
466,Quadropolis,6.977,7.23,,,2016,176396
467,Point Salad,6.976,7.17,19.99,16.99,2019,274960
468,Wayfarers of the South Tigris,6.974,7.86,,50.9,2022,350316
469,Mystic Vale,6.969,7.26,,99.99,2016,194607
470,Middara: Unintentional Malum – Act 1,6.969,8.63,,,2019,169427
471,IKI,6.968,7.68,,54.98,2015,177478
472,Commands & Colors: Napoleonics,6.967,8.02,,82.96,2010,62222
473,Amerigo,6.964,7.45,,,2013,137408
474,Cartographers Heroes,6.964,7.8,24.95,22.52,2021,315767
475,Stuffed Fables,6.962,7.47,75.99,63.99,2018,233312
476,Hadara,6.96,7.42,,49.99,2019,269144
477,Pan Am,6.959,7.55,34.99,27.24,2020,303057
478,Descent: Legends of the Dark,6.959,7.95,174.95,94.99,2021,322708
479,Amun-Re,6.958,7.3,,,2003,5404
480,Colt Express,6.958,7.09,39.99,25.49,2014,158899
481,BattleLore,6.958,7.35,,,2006,25417
482,Fire in the Lake,6.957,8.05,,69.48,2014,144189
483,Pandemic: The Cure,6.957,7.25,,49.99,2014,150658
484,Dead Reckoning,6.956,8.23,,,2022,276182
485,Dawn of the Zeds (Third Edition),6.954,8.17,,,2016,175095
486,Citadels,6.954,7.26,,69.95,2016,205398
487,Charterstone,6.953,7.23,70.0,51.91,2017,197376
488,Risk Legacy,6.952,7.37,,94.99,2011,105134
489,No Thanks!,6.952,7.07,12.99,9.99,2004,12942
490,"Air, Land, & Sea",6.952,7.46,,,2019,247367
491,Exit: The Game – Dead Man on the Orient Express,6.951,7.57,14.95,14.1,2017,226522
492,Citadels,6.951,7.07,29.99,27.74,2000,478
493,Sheriff of Nottingham,6.949,7.08,,120.42,2014,157969
494,Deus,6.948,7.28,33.7,29.9,2014,162082
495,Zombie Kidz Evolution,6.948,7.65,,24.99,2018,256952
496,Lords of Vegas,6.947,7.35,,99.99,2010,20437
497,Foundations of Rome,6.947,8.03,,,2022,284189
498,Forbidden Desert,6.947,7.09,32.78,26.95,2013,136063
499,Fantastic Factories,6.946,7.46,,,2019,216600
500,Blood Bowl (Third Edition),6.946,7.55,,,1994,712
