rank,title,BGG_rating,avg_rating,list_price,amazon_price,year
254,Chronicles of Crime,7.236,7.61,,41.95,2018
255,Glory to Rome,7.232,7.49,,,2005
256,Pulsar,7.231,7.67,,54.0,2017
257,,7.231,7.87,,80.07,1986
258,Hero Realms,7.23,7.53,,23.95,2016
259,Hallertau,7.23,7.92,,86.49,2020
260,Clash of Cultures: Monumental Edition,7.228,8.39,,99.95,2021
261,Shogun,7.227,7.52,,,2006
262,Samurai,7.226,7.46,,,1998
263,Camel Up (Second Edition),7.224,7.58,,,2018
264,Galaxy Trucker,7.223,7.35,,,2007
265,Vindication,7.22,7.8,,169.99,2018
266,,7.22,7.62,,89.0,2007
267,Viticulture,7.219,7.51,,48.63,2013
268,Endless Winter: Paleoamericans,7.217,7.8,,369.99,2022
269,Steam,7.215,7.56,,29.99,2009
270,7 Wonders (Second Edition),7.215,7.87,,40.0,2020
271,T.I.M.E Stories,7.215,7.4,,47.99,2015
272,Western Legends,7.215,7.61,,,2018
273,Tapestry,7.214,7.45,,70.97,2019
274,Blood on the Clocktower,7.213,8.33,,,2022
275,Lewis & Clark: The Expedition,7.208,7.45,,39.49,2013
276,Great Western Trail: Argentina,7.206,8.48,,55.99,2022
277,Bora Bora,7.202,7.56,,,2013
278,Kingdomino,7.197,7.32,,21.99,2016
279,Arcadia Quest,7.194,7.62,,96.99,2014
280,Battle Line,7.191,7.41,,21.1,2000
281,Rococo,7.189,7.58,,,2013
282,Forgotten Waters,7.187,7.85,,45.49,2020
283,Dixit: Odyssey,7.187,7.41,,29.99,2011
284,Anno,7.186,7.75,,38.42,2020
285,Seasons,7.183,7.36,,55.94,2012
286,Cryptid,7.182,7.46,,28.04,2018
287,Ethnos,7.182,7.46,,,2017
288,Hive,7.18,7.32,,42.66,2000
289,Imperial,7.177,7.6,,,2006
290,The Manhattan Project: Energy Empire,7.175,7.75,,119.9,2016
291,Marvel United,7.17,7.6,,18.29,2020
292,Indonesia,7.169,7.88,,,2005
293,Navegador,7.166,7.54,,129.99,2010
294,Star Realms: Frontiers,7.166,7.95,,39.95,2018
295,Power Grid Deluxe: Europe/North America,7.166,7.95,,149.99,2014
296,Monikers,7.165,7.78,,24.99,2015
297,Dice Throne: Season Two – Battle Chest,7.164,8.08,,208.3,2018
298,Cthulhu Wars,7.164,7.86,,170.6,2015
299,Dungeon Petz,7.164,7.41,,40.28,2011
300,Age of Empires III: The Age of Discovery,7.159,7.51,,219.95,2007
301,Return to Dark Tower,7.158,8.3,,284.99,2022
302,Telestrations,7.157,7.38,,31.99,2009
303,Space Alert,7.156,7.4,,66.12,2008
304,Onitama,7.156,7.36,,29.99,2014
305,Nemo's War (Second Edition),7.153,7.86,,40.0,2017
306,Oath: Chronicles of Empire & Exile,7.153,7.82,,88.19,2021
307,Bitoku,7.15,7.86,,57.35,2021
308,Imperial Settlers,7.15,7.33,,33.95,2014
309,Fury of Dracula (Third/Fourth Edition),7.149,7.44,,,2015
310,Glass Road,7.147,7.45,,116.41,2013
311,Kemet: Blood and Sand,7.144,8.01,,89.99,2021
312,Summoner Wars: Master Set,7.142,7.48,,219.95,2011
313,Imperial,7.141,7.65,,67.75,2009
314,The King's Dilemma,7.139,7.8,,59.99,2019
315,Aeon's End: The New Age,7.139,8.55,,48.9,2019
316,Arkham Horror (Third Edition),7.135,7.7,,55.37,2018
317,Runewars,7.135,7.61,,,2010
318,Alien Frontiers,7.134,7.37,,85.98,2010
319,Century: Spice Road,7.133,7.31,,39.99,2017
320,Heaven & Ale,7.133,7.55,,114.27,2017
321,Tikal,7.133,7.33,,59.99,1999
322,Survive: Escape from Atlantis!,7.132,7.31,,39.99,1982
323,Mind MGMT: The Psychic Espionage “Game.”,7.132,8.0,,74.0,2021
324,Bruges,7.129,7.42,,,2013
325,Love Letter,7.128,7.22,,19.78,2012
326,Tiny Epic Galaxies,7.128,7.34,,31.99,2015
327,For Sale,7.127,7.25,,26.43,1997
328,Exit: The Game – The Abandoned Cabin,7.126,7.44,,14.99,2016
329,Lost Cities,7.126,7.23,,20.33,1999
330,Antiquity,7.125,7.86,,,2004
